,Algorithm,Components,Clusters,Homogeneity,WCSS,Time
0,PCA,32,1,0.0,76210.8913058576,0.03284909999999286
0,PCA,33,1,0.0,77578.48395866007,0.0324401000000023
0,PCA,34,1,0.0,78908.22641150952,0.046719499999994696
0,PCA,35,1,0.0,80227.47596748512,0.03979830000000106
0,PCA,36,1,0.0,81520.19272186783,0.0329825000000028
0,PCA,37,1,0.0,82802.86520580779,0.036548100000004524
0,PCA,38,1,0.0,84070.86643976739,0.039108100000021295
0,PCA,39,1,0.0,85327.75505279287,0.04594400000001997
0,PCA,40,1,0.0,86561.4712863232,0.03270639999999503
0,PCA,41,1,0.0,87785.639256126,0.04267409999999927
0,PCA,42,1,0.0,88995.1620280263,0.044374199999992925
0,PCA,43,1,0.0,90191.82791610944,0.03301770000001625
0,PCA,44,1,0.0,91375.88867593305,0.035874299999989034
0,PCA,45,1,0.0,92545.01666547451,0.04118739999998411
0,PCA,46,1,0.0,93709.27742676639,0.04353159999999434
0,PCA,47,1,0.0,94861.80433572456,0.058498700000001236
0,PCA,48,1,0.0,95997.81791488685,0.05049459999997907
0,PCA,49,1,0.0,97127.80582157806,0.03354860000001736
0,PCA,1,2,0.03556067972245627,2905.407205036839,0.039809100000013586
0,PCA,2,2,0.057924617058614604,8742.463287792569,0.06092150000000629
0,PCA,3,2,0.058041165216507526,13680.357870991747,0.16315720000000056
0,PCA,4,2,0.05650135815255674,17050.217603226996,0.08312750000001756
0,PCA,5,2,0.05738222574910471,20314.074780612045,0.07776160000000232
0,PCA,6,2,0.05732117330744706,23072.488112981115,0.1167876000000092
0,PCA,7,2,0.05745631199571846,25724.239980318114,0.09037459999998987
0,PCA,8,2,0.05685362892663386,28147.748780895814,0.09399829999998133
0,PCA,9,2,0.05701627745817087,30514.474642331967,0.14042960000000448
0,PCA,10,2,0.057039617296394424,32811.352289906354,0.10877120000000673
0,PCA,11,2,0.05693570411179143,34961.37450927224,0.11463929999999323
0,PCA,12,2,0.05703008238910871,37046.55554229461,0.10618900000000053
0,PCA,13,2,0.05713227826694654,39116.397694953994,0.10211359999999559
0,PCA,14,2,0.05721734022149755,41150.93762109006,0.11928449999999202
0,PCA,15,2,0.056964070618149544,43144.16229043437,0.10797669999999471
0,PCA,16,2,0.05685112730208268,45102.37015965939,0.1257047
0,PCA,17,2,0.05702414566786758,46985.207376296145,0.10698659999999904
0,PCA,18,2,0.05694021243463583,48805.338893380336,0.17544240000000855
0,PCA,19,2,0.056511522399063305,50616.951545553355,0.1151741000000186
0,PCA,20,2,0.057096800031600316,52366.919520918746,0.13069889999999873
0,PCA,21,2,0.056387365011710225,54087.27691409339,0.16079290000001834
0,PCA,22,2,0.05630779467851936,55768.31969222365,0.12742769999999837
0,PCA,23,2,0.056715995947896045,57398.529094565965,0.22395789999998783
0,PCA,24,2,0.057642418908968936,59019.62825116333,0.14929630000000316
0,PCA,25,2,0.057012623898729776,60580.34170092174,0.22166670000001432
0,PCA,26,2,0.0574486628622665,62135.65466528452,0.13101270000001364
0,PCA,27,2,0.057381400533658165,63652.405696189846,0.17154399999998304
0,PCA,28,2,0.05757784246159882,65164.86724579084,0.1899334999999951
0,PCA,29,2,0.05704476754184336,66626.01999837435,0.16452520000001414
0,PCA,30,2,0.05695084160148703,68044.1281820858,0.18512559999999212
0,PCA,31,2,0.05713881327344824,69460.23159555659,0.1788688000000036
0,PCA,32,2,0.05715394003949971,70839.79738227774,0.20153830000000994
0,PCA,33,2,0.0568562169892518,72207.21276470165,0.17332209999997872
0,PCA,34,2,0.05727156860577195,73536.88888034923,0.1788259999999866
0,PCA,35,2,0.05724810047083649,74856.04210903423,0.1889303999999754
0,PCA,36,2,0.05731902878572729,76148.63916991894,0.209726599999982
0,PCA,37,2,0.05739744500359813,77431.30184981358,0.1885507000000075
0,PCA,38,2,0.056684684023997046,78699.00312399292,0.21206819999997606
0,PCA,39,2,0.05620165309394373,79955.88423998542,0.20749290000000542
0,PCA,40,2,0.056661042949910936,81189.58451927666,0.15433049999998616
0,PCA,41,2,0.058256225257170786,82413.08267844583,0.22269620000000145
0,PCA,42,2,0.058513187439553346,83622.44519380189,0.19031150000000707
0,PCA,43,2,0.057714888587433864,84819.14844712499,0.23094050000000266
0,PCA,44,2,0.05765811261943616,86003.16869849707,0.23667759999997884
0,PCA,45,2,0.05856010161422714,87172.12618438035,0.22426730000000816
0,PCA,46,2,0.057650599214914146,88336.43174263542,0.35256899999998836
0,PCA,47,2,0.05772636206220526,89488.79459923692,0.2889116000000058
0,PCA,48,2,0.057679642570827784,90624.77140463544,0.2903550999999993
0,PCA,49,2,0.057819060081425365,91754.72565378522,0.25478499999999826
0,PCA,1,3,0.04739937244983306,1498.7758773417427,0.12424019999997427
0,PCA,2,3,0.08364964576560426,5771.929562327081,0.10968809999999962
0,PCA,3,3,0.10292775984859634,10335.121518314634,0.10758020000000101
0,PCA,4,3,0.10303676030926366,13668.198763149892,0.1560711999999853
0,PCA,5,3,0.1020671723354779,16929.81732570762,0.15219229999999584
0,PCA,6,3,0.10162542909176292,19687.494504008973,0.1610890999999981
0,PCA,7,3,0.10284211341782382,22321.39500192886,0.16543559999999502
0,PCA,8,3,0.10108435245261042,24735.30278803269,0.14790650000000483
0,PCA,9,3,0.10125984504425146,27100.4780553717,0.16475609999997687
0,PCA,10,3,0.10147767973670362,29396.643607652888,0.1435901000000115
0,PCA,11,3,0.10278960997244833,31546.96217972436,0.17774860000000103
0,PCA,12,3,0.10234433425554286,33626.36797752908,0.2265562999999986
0,PCA,13,3,0.10252476706389947,35695.90677010877,0.17040839999998525
0,PCA,14,3,0.10231890166605352,37726.873293378514,0.1921613000000093
0,PCA,15,3,0.10241082992703517,39719.45893048524,0.1833464000000049
0,PCA,16,3,0.10090623142907304,41676.65915228086,0.26348779999997873
0,PCA,17,3,0.10166393306258369,43559.29104381683,0.194012999999984
0,PCA,18,3,0.10195488110618822,45378.93148328485,0.25650090000002024
0,PCA,19,3,0.10171930038903251,47189.64735017616,0.1870328999999913
0,PCA,20,3,0.10210386720778922,48936.2723134878,0.19090110000001914
0,PCA,21,3,0.10095872239905192,50657.93858299542,0.20441769999999337
0,PCA,22,3,0.10155956771230763,52337.56920288186,0.2028952000000004
0,PCA,23,3,0.10223867242813595,53967.329292479684,0.22559749999999212
0,PCA,24,3,0.10234332319554583,55587.743002710136,0.21942340000001082
0,PCA,25,3,0.10167428414441197,57147.9650895958,0.24596199999999158
0,PCA,26,3,0.10181464347342843,58703.28543857046,0.1983248999999887
0,PCA,27,3,0.1012380102848192,60219.63079737117,0.2696074000000124
0,PCA,28,3,0.10166666895012746,61731.76515784845,0.21607610000000932
0,PCA,29,3,0.10234970993658182,63192.88653141608,0.2776317000000006
0,PCA,30,3,0.1021090219227213,64610.58091900285,0.238924499999996
0,PCA,31,3,0.10185826270584,66024.12744588336,0.2522632999999814
0,PCA,32,3,0.10193803955121643,67403.63442581265,0.2547983000000045
0,PCA,33,3,0.10110539855233326,68771.04622313898,0.20566920000001687
