,Algorithm,Components,Clusters,Homogeneity,Time
0,RCA,4,11,0.025664060569472746,0.5290540000000021
0,RCA,4,12,0.022766458815451696,0.36003249999998843
0,RCA,4,13,0.022819864553591033,0.3339881999999932
0,RCA,4,14,0.023848329663295368,0.5652826999999974
0,RCA,4,15,0.018126789422735812,0.5210603999999961
0,RCA,4,16,0.020760699710590455,0.45884929999999713
0,RCA,4,17,0.02019531052547017,0.6577092999999934
0,RCA,4,18,0.019053977768923643,0.5143163000000044
0,RCA,4,19,0.018634388215673297,0.7271027000000032
0,RCA,5,1,0.0,0.016328999999998928
0,RCA,5,2,0.013173612763899308,0.040324400000002925
0,RCA,5,3,0.008918227885954469,0.13678790000000163
0,RCA,5,4,0.01259001981365565,0.1254528999999991
0,RCA,5,5,0.006239182533803389,0.1799278999999956
0,RCA,5,6,0.011566615355712098,0.2630307000000016
0,RCA,5,7,0.005862671694038549,0.2334742000000034
0,RCA,5,8,0.01681963053582419,0.4118799000000024
0,RCA,5,9,0.019879741544183538,0.4113602000000043
0,RCA,5,10,0.020138590025383884,0.4350103999999959
0,RCA,5,11,0.018696060618217117,0.40723090000000184
0,RCA,5,12,0.02332307282596002,0.41916840000000377
0,RCA,5,13,0.024232059272931126,0.7207857000000075
0,RCA,5,14,0.018318802362920234,0.4954112000000066
0,RCA,5,15,0.02399764522430743,1.1534674999999908
0,RCA,5,16,0.02132199751945041,0.8528404000000052
0,RCA,5,17,0.019780324604029162,0.8511077999999941
0,RCA,5,18,0.01609853394578891,0.7567932999999982
0,RCA,5,19,0.020619208620146722,1.0365685999999954
0,RCA,6,1,0.0,0.015232400000002144
0,RCA,6,2,0.007711913468670325,0.11116629999999361
0,RCA,6,3,0.010024467142172463,0.18390569999999684
0,RCA,6,4,0.013292021938159163,0.1446275000000128
0,RCA,6,5,0.019694889200746083,0.35655660000000466
0,RCA,6,6,0.02298151397389821,0.2471575999999942
0,RCA,6,7,0.026039452590886164,0.3447578999999905
0,RCA,6,8,0.013449499357394014,0.23817540000000292
0,RCA,6,9,0.017459169759900663,0.476131599999988
0,RCA,6,10,0.01703641329309043,0.6212033000000048
0,RCA,6,11,0.0214901390814161,0.7456718000000109
0,RCA,6,12,0.02583943711227085,0.6252716000000049
0,RCA,6,13,0.021719244270661135,0.6163579000000112
0,RCA,6,14,0.020817927058382507,0.6504635999999948
0,RCA,6,15,0.012839292184425803,0.888108900000006
0,RCA,6,16,0.02489945500185187,1.2500256999999948
0,RCA,6,17,0.025019562019744833,0.9113329999999991
0,RCA,6,18,0.02182570692860631,1.206683499999997
0,RCA,6,19,0.022539578210380988,1.5617114000000072
0,RCA,7,1,0.0,0.014775200000002542
0,RCA,7,2,0.008152118135739022,0.12233229999999651
0,RCA,7,3,0.012654874893927257,0.22174649999999474
0,RCA,7,4,0.024568110768451785,0.16220529999999656
0,RCA,7,5,0.014862340655274671,0.2161629000000005
0,RCA,7,6,0.024488426983898224,0.32347999999998933
0,RCA,7,7,0.021629287478426722,0.21827679999999816
0,RCA,7,8,0.009250051509318482,0.377378400000012
0,RCA,7,9,0.009343091028757647,0.5330061000000086
0,RCA,7,10,0.016955286746562184,0.3743963000000008
0,RCA,7,11,0.023522690045874078,0.3620288000000045
0,RCA,7,12,0.020425921093006522,0.4494846999999993
0,RCA,7,13,0.015349615399188972,0.7169589999999886
0,RCA,7,14,0.016275153527747048,0.9576818000000031
0,RCA,7,15,0.011193040232467455,0.9709179999999975
0,RCA,7,16,0.009238140977559577,1.3527087999999878
0,RCA,7,17,0.012043366663348,1.0814162000000067
0,RCA,7,18,0.010294711629073744,0.7690838000000042
0,RCA,7,19,0.01437697531565507,1.0423024000000112
0,RCA,8,1,0.0,0.016952699999990273
0,RCA,8,2,0.007842651106417397,0.10599540000001184
