,Algorithm,Components,Clusters,Homogeneity,WCSS,Time
0,Test,0,0,0.0,0.0,0.0
0,PCA,1,1,0.0,8559.286174602292,0.5133263000000028
0,PCA,1,2,0.19412331939873784,1985.5930963438013,0.19521950000000032
0,PCA,1,3,0.1948796296589703,573.1099001452931,0.301423199999995
0,PCA,1,4,0.2228345050425383,339.94915076609516,0.3473060999999973
0,PCA,1,5,0.2362626199051499,164.85945709711405,0.33209839999999957
0,PCA,1,6,0.2351104636412553,92.87750619827284,0.6073966000000013
0,PCA,1,7,0.24425521246312956,66.92829289199747,0.7199627999999976
0,PCA,1,8,0.24624027166175796,47.57278176553705,0.6700195999999963
0,PCA,1,9,0.2576654474605756,31.486893750347296,0.5762507000000028
0,PCA,1,10,0.25478251101621857,23.617293413910073,0.6855463999999998
0,PCA,1,11,0.25268021008978225,20.447875142631947,0.9082075999999972
0,PCA,1,12,0.2569753191053981,18.301130026696942,0.8920285999999962
0,PCA,1,13,0.25645470584507596,16.135866742515436,0.8786771999999985
0,PCA,1,14,0.26234934385846603,13.797849973917293,0.8430217000000013
0,PCA,1,15,0.2601259417749529,12.613228190689707,0.725601300000001
0,PCA,1,16,0.2623726873344601,10.457843702313706,0.9799157000000065
0,PCA,1,17,0.26824988755989193,8.058170863570224,0.9767133000000001
0,PCA,1,18,0.2682269136501184,6.933040016188576,0.7387253999999928
0,PCA,1,19,0.27870175407592956,6.0144145331098375,0.7434877000000029
0,PCA,2,1,0.0,14379.365760391887,0.10432520000000522
0,PCA,2,2,0.08071415180779319,6601.151113950325,0.11017350000000192
0,PCA,2,3,0.10215207061201517,3697.866258471535,0.1547470000000004
0,PCA,2,4,0.14681651564998183,1417.089037107082,0.30057800000000157
0,PCA,2,5,0.24068777587321938,638.1055587138384,0.15773989999999571
0,PCA,2,6,0.24826554970808887,272.8511777386892,0.2577052999999978
0,PCA,2,7,0.2567374761600662,182.3226498808988,0.17839109999999891
0,PCA,2,8,0.28195218662092997,98.13108246955058,0.22255780000000414
0,PCA,2,9,0.2934223963759827,77.1090326968986,0.2150710000000089
0,PCA,2,10,0.2946884282041073,67.08334655951415,0.2833142000000066
0,PCA,2,11,0.2965811944510818,60.2022035019629,0.2742863
0,PCA,2,12,0.30642844177836737,51.6418384248425,0.39830380000000787
0,PCA,2,13,0.3113080232583932,46.98962510877579,0.28735160000000803
0,PCA,2,14,0.3122802889273864,42.69866492842628,0.15883820000000526
0,PCA,2,15,0.3117073189043398,39.180457405641626,0.1880337000000054
0,PCA,2,16,0.31165521073131125,35.77904478019617,0.19277849999998864
0,PCA,2,17,0.31530861371645685,33.528700992724815,0.15237250000001268
0,PCA,2,18,0.32051429201483567,29.549567914299594,0.47953019999999924
0,PCA,2,19,0.3183754701900769,27.63489482519672,0.18428860000000213
0,PCA,3,1,0.0,17569.862373548563,0.3804681999999957
0,PCA,3,2,0.08071415180779319,9782.66348172949,0.07927320000000293
0,PCA,3,3,0.10215207061201517,6873.576076005266,0.4388597999999888
0,PCA,3,4,0.16197779976714613,4612.738369914112,0.07709700000000907
0,PCA,3,5,0.25231980931468817,3397.078628184494,0.0957057999999904
0,PCA,3,6,0.264517844314105,2646.808162545974,0.07913310000000706
0,PCA,3,7,0.2784583666061115,2028.857838614605,0.0900115000000028
0,PCA,3,8,0.284330564659267,1677.7569255984324,0.12824900000001094
0,PCA,3,9,0.29439420039751246,1343.7800283127144,0.10579299999999137
0,PCA,3,10,0.2941979086338157,1031.2825234826064,0.13904320000000325
