,Algorithm,Components,Clusters,AccuracyIn,AccuracyOut,Time
0,PCA,5,15,0.7414375,0.73975,1.4939615000000117
0,PCA,5,16,0.747,0.7485,1.1449029000000053
0,PCA,5,17,0.7440625,0.74775,1.2161125000000084
0,PCA,5,18,0.734875,0.739,1.3505662999999828
0,PCA,5,19,0.5,0.5,1.3855197000000032
0,PCA,6,0,0.5,0.5,0.02530279999999152
0,PCA,6,1,0.5,0.5,0.0668231000000219
0,PCA,6,2,0.5,0.5,0.121103799999986
0,PCA,6,3,0.6485,0.64975,0.20678100000000654
0,PCA,6,4,0.765125,0.76375,0.33342829999998
0,PCA,6,5,0.6615625,0.663,0.3021787000000131
0,PCA,6,6,0.5,0.5,0.9433648000000119
0,PCA,6,7,0.7181875,0.71775,1.0942858999999885
0,PCA,6,8,0.6485,0.64975,1.060459800000018
0,PCA,6,9,0.7495625,0.75075,1.2883651000000214
0,PCA,6,10,0.76,0.7635,0.6036947999999995
0,PCA,6,11,0.6850625,0.68625,0.9862569999999948
0,PCA,6,12,0.758125,0.759,0.9849349999999788
0,PCA,6,13,0.6076875,0.60875,1.1813185999999973
0,PCA,6,14,0.771,0.772,1.1883301999999958
0,PCA,6,15,0.6373125,0.64175,1.1287109999999814
0,PCA,6,16,0.7695,0.771,1.3200390000000084
0,PCA,6,17,0.7085,0.70725,1.5922999999999945
0,PCA,6,18,0.7675625,0.7645,1.455952200000013
0,PCA,6,19,0.5,0.5,0.9825151000000005
0,PCA,7,0,0.7896875,0.79175,1.625512499999985
0,PCA,7,1,0.5,0.5,0.07041150000000584
0,PCA,7,2,0.5,0.5,0.10757699999999204
0,PCA,7,3,0.7495625,0.75075,0.23973010000000272
0,PCA,7,4,0.7495625,0.75075,0.3252470000000187
0,PCA,7,5,0.6599375,0.658,0.2522671000000116
0,PCA,7,6,0.5,0.5,0.3226343999999983
0,PCA,7,7,0.7495625,0.75075,0.545089599999983
0,PCA,7,8,0.6485,0.64975,0.29014560000001666
0,PCA,7,9,0.6649375,0.661,0.9143349999999941
0,PCA,7,10,0.6485,0.64975,0.41533050000001026
0,PCA,7,11,0.6590625,0.65825,0.38515780000000177
0,PCA,7,12,0.7559375,0.7545,0.5279725000000042
0,PCA,7,13,0.6406875,0.64125,1.0873875999999996
0,PCA,7,14,0.7510625,0.7525,0.9676849999999888
0,PCA,7,15,0.632375,0.6325,1.0651135999999894
0,PCA,7,16,0.754625,0.7515,1.9677086000000088
0,PCA,7,17,0.7524375,0.754,2.3896151000000145
0,PCA,7,18,0.7524375,0.75375,1.950158700000003
0,PCA,7,19,0.5,0.5,1.3713209999999947
0,PCA,8,0,0.8123125,0.80675,1.5772125000000017
0,PCA,8,1,0.5,0.5,0.0780366999999842
0,PCA,8,2,0.5,0.5,0.17578689999999142
0,PCA,8,3,0.6599375,0.658,0.24427860000000123
0,PCA,8,4,0.6599375,0.658,0.2756095000000016
0,PCA,8,5,0.67875,0.68125,0.2841344999999933
0,PCA,8,6,0.5,0.5,0.26424860000000194
0,PCA,8,7,0.7270625,0.72975,0.8120468000000187
0,PCA,8,8,0.7495625,0.75075,0.5144647000000191
0,PCA,8,9,0.74075,0.74575,1.0006103000000053
0,PCA,8,10,0.750625,0.75475,1.390326999999985
0,PCA,8,11,0.7539375,0.7595,1.2570834999999931
0,PCA,8,12,0.756125,0.761,1.1521403000000134
0,PCA,8,13,0.7578125,0.761,1.5144651999999894
0,PCA,8,14,0.7574375,0.76075,2.383743100000004
0,PCA,8,15,0.555125,0.558,2.0420633999999893
0,PCA,8,16,0.7675625,0.76975,3.6432290000000194
0,PCA,8,17,0.77275,0.77325,2.0869009000000176
0,PCA,8,18,0.7741875,0.7735,2.0960943000000043
0,PCA,8,19,0.5,0.5,1.5505848999999898
0,PCA,9,0,0.7890625,0.7905,0.5312031999999931
0,PCA,9,1,0.5,0.5,0.09007499999998458
0,PCA,9,2,0.5,0.5,0.1477113999999915
0,PCA,9,3,0.61475,0.62325,0.32865759999998545
