,Algorithm,Components,Clusters,AccuracyIn,AccuracyOut,Time
0,PCA,5,15,0.688,0.694,0.12173020000000179
0,PCA,5,16,0.74875,0.74925,0.1499283999999932
0,PCA,5,17,0.75175,0.75475,0.5579539000000011
0,PCA,5,18,0.7554375,0.75475,0.6383289000000048
0,PCA,5,19,0.754875,0.7565,0.15742609999999502
0,PCA,6,0,0.5,0.5,0.061183299999996166
0,PCA,6,1,0.5,0.5,0.04375229999999419
0,PCA,6,2,0.5,0.5,0.032189799999997604
0,PCA,6,3,0.6485,0.64975,0.09216079999998783
0,PCA,6,4,0.6599375,0.658,0.11324740000000588
0,PCA,6,5,0.7495625,0.75075,0.2819656000000066
0,PCA,6,6,0.5,0.5,0.03334979999999632
0,PCA,6,7,0.613875,0.6125,0.07720719999998948
0,PCA,6,8,0.5729375,0.57975,0.14060260000000824
0,PCA,6,9,0.5826875,0.5815,0.17060260000000937
0,PCA,6,10,0.7451875,0.745,0.14047589999999843
0,PCA,6,11,0.6976875,0.69725,0.08536019999999667
0,PCA,6,12,0.75225,0.7545,0.1743412999999947
0,PCA,6,13,0.6024375,0.60425,0.10222709999999324
0,PCA,6,14,0.758,0.7565,0.1863002999999992
0,PCA,6,15,0.6075,0.60975,0.10505739999999264
0,PCA,6,16,0.7551875,0.75275,0.11062850000000424
0,PCA,6,17,0.76825,0.766,0.4148294000000021
0,PCA,6,18,0.767375,0.76475,0.2562769999999972
0,PCA,6,19,0.5,0.5,0.03168530000000658
0,PCA,7,0,0.7896875,0.79175,1.5694079999999957
0,PCA,7,1,0.5,0.5,0.03314159999999333
0,PCA,7,2,0.5,0.5,0.028537000000000035
0,PCA,7,3,0.5,0.5,0.039382700000004434
0,PCA,7,4,0.6599375,0.658,0.10787249999999915
0,PCA,7,5,0.7495625,0.75075,0.11922239999999817
0,PCA,7,6,0.5,0.5,0.0274576000000053
0,PCA,7,7,0.5805625,0.573,0.07804529999999943
0,PCA,7,8,0.6485,0.64975,0.06594129999999154
0,PCA,7,9,0.6649375,0.661,0.6204649000000018
0,PCA,7,10,0.6608125,0.668,0.07007579999999791
0,PCA,7,11,0.751,0.754,0.0949841000000049
0,PCA,7,12,0.7559375,0.7545,0.17158210000000906
0,PCA,7,13,0.75225,0.75175,0.2313276000000144
0,PCA,7,14,0.7541875,0.753,0.22951989999998545
0,PCA,7,15,0.757625,0.75625,0.6088314000000139
0,PCA,7,16,0.75575,0.754,0.41480020000000195
0,PCA,7,17,0.761125,0.76525,0.345928200000003
0,PCA,7,18,0.7529375,0.755,0.24490729999999417
0,PCA,7,19,0.5,0.5,0.031281000000007
0,PCA,8,0,0.8123125,0.80675,1.5157541000000094
0,PCA,8,1,0.5,0.5,0.031204000000002452
0,PCA,8,2,0.5,0.5,0.02878129999999146
0,PCA,8,3,0.6599375,0.658,0.1399308000000019
0,PCA,8,4,0.6599375,0.658,0.10490379999998822
0,PCA,8,5,0.7495625,0.75075,0.1390341000000035
0,PCA,8,6,0.5,0.5,0.026961999999997488
0,PCA,8,7,0.6285625,0.63625,0.07320490000000746
0,PCA,8,8,0.7495625,0.75075,0.1338264000000038
0,PCA,8,9,0.758875,0.7595,0.2106877999999881
0,PCA,8,10,0.762375,0.761,0.12955479999999397
0,PCA,8,11,0.760125,0.75925,0.13790069999998877
0,PCA,8,12,0.758125,0.76225,0.14975999999998635
0,PCA,8,13,0.5,0.5,0.0471924999999942
0,PCA,8,14,0.7521875,0.74975,0.29231770000001234
0,PCA,8,15,0.780375,0.78075,0.19596319999999423
0,PCA,8,16,0.766125,0.76625,0.1910624999999868
0,PCA,8,17,0.7509375,0.75275,0.5311441000000059
0,PCA,8,18,0.764125,0.7655,0.6263500000000022
0,PCA,8,19,0.5,0.5,0.03184320000002572
0,PCA,9,0,0.7890625,0.7905,0.520375400000006
0,PCA,9,1,0.5,0.5,0.03067729999997937
0,PCA,9,2,0.5,0.5,0.03265830000000847
0,PCA,9,3,0.6599375,0.658,0.13152840000000765
0,PCA,9,4,0.5114375,0.50825,0.055727099999984375
0,PCA,9,5,0.7495625,0.75075,0.10039139999997815
0,PCA,9,6,0.5,0.5,0.025903399999975818
0,PCA,9,7,0.758875,0.76075,0.12035870000002546
0,PCA,9,8,0.6288125,0.623,0.08689269999999283
0,PCA,9,9,0.74675,0.74525,0.2354058999999893
0,PCA,9,10,0.760125,0.75925,0.11058840000001169
0,PCA,9,11,0.763875,0.76375,0.1113296000000048
0,PCA,9,12,0.7460625,0.74525,0.34997240000001284
0,PCA,9,13,0.61125,0.613,0.21106100000000083
0,PCA,9,14,0.7586875,0.759,1.5008746999999971
0,PCA,9,15,0.7360625,0.739,0.17060270000001765
0,PCA,9,16,0.769875,0.77175,0.14793240000000196
0,PCA,9,17,0.6725,0.6745,0.1083150000000046
0,PCA,9,18,0.76825,0.77025,0.3737820000000056
0,PCA,9,19,0.5,0.5,0.030556799999999384
0,PCA,10,0,0.8120625,0.81025,8.467656499999975
0,PCA,10,1,0.5,0.5,0.03085139999998887
0,PCA,10,2,0.5,0.5,0.03114439999998808
0,PCA,10,3,0.6485,0.64975,0.07800780000002305
0,PCA,10,4,0.6599375,0.658,0.08546480000001111
0,PCA,10,5,0.7495625,0.75075,0.17500210000000038
0,PCA,10,6,0.5,0.5,0.02808250000001067
0,PCA,10,7,0.6061875,0.608,0.09712869999998475
0,PCA,10,8,0.5820625,0.5745,0.0872720000000129
0,PCA,10,9,0.51575,0.51775,0.3290211000000056
0,PCA,10,10,0.7545625,0.75375,0.16575120000001675
0,PCA,10,11,0.6619375,0.651,0.09474879999999075
0,PCA,10,12,0.7650625,0.76375,0.17366459999999506
0,PCA,10,13,0.5,0.5,0.05394870000000651
0,PCA,10,14,0.77375,0.77325,0.6183095000000094
0,PCA,10,15,0.781,0.78225,0.19469179999998687
0,PCA,10,16,0.7688125,0.7685,0.5051023000000043
0,PCA,10,17,0.673375,0.668,0.12848750000000564
0,PCA,10,18,0.763375,0.7635,0.42571130000001745
0,PCA,10,19,0.5,0.5,0.030348000000003594
0,PCA,11,0,0.8015,0.79825,0.757868000000002
0,PCA,11,1,0.5,0.5,0.0307499999999834
0,PCA,11,2,0.5,0.5,0.031768300000010186
0,PCA,11,3,0.6485,0.64975,0.07830939999999487
0,PCA,11,4,0.6485,0.64975,0.09058709999999337
0,PCA,11,5,0.7495625,0.75075,0.12098890000001461
0,PCA,11,6,0.5,0.5,0.02779490000000351
0,PCA,11,7,0.5968125,0.5925,0.10083480000000122
0,PCA,11,8,0.6610625,0.6685,0.08211900000000583
0,PCA,11,9,0.5090625,0.50725,0.40180630000000406
0,PCA,11,10,0.5,0.5,0.033154999999993606
0,PCA,11,11,0.7573125,0.75675,0.13692629999999895
0,PCA,11,12,0.5318125,0.52275,0.06467319999998722
0,PCA,11,13,0.6421875,0.6355,0.3455122999999958
0,PCA,11,14,0.75625,0.7565,0.24818460000000186
0,PCA,11,15,0.77825,0.77925,0.5010201000000052
0,PCA,11,16,0.7659375,0.764,1.4509562000000074
0,PCA,11,17,0.775875,0.77675,0.5327358000000117
0,PCA,11,18,0.76575,0.767,0.3878846000000067
0,PCA,11,19,0.5,0.5,0.032888799999994944
0,PCA,12,0,0.8135,0.80775,7.743152699999996
0,PCA,12,1,0.5,0.5,0.034243000000003576
0,PCA,12,2,0.5,0.5,0.03149209999997993
0,PCA,12,3,0.6485,0.64975,0.07779240000002119
0,PCA,12,4,0.5114375,0.50825,0.0582704999999919
0,PCA,12,5,0.67875,0.68125,0.14181579999998917
0,PCA,12,6,0.5,0.5,0.03058749999999577
0,PCA,12,7,0.7338125,0.733,0.07476030000000833
0,PCA,12,8,0.740125,0.74,0.0735362000000066
0,PCA,12,9,0.7495625,0.75075,0.48864310000001865
0,PCA,12,10,0.6975,0.70425,0.10161980000000881
0,PCA,12,11,0.5479375,0.5385,0.13538090000000125
0,PCA,12,12,0.770375,0.76975,0.17031659999997828
0,PCA,12,13,0.75675,0.7545,0.2565120999999806
0,PCA,12,14,0.7731875,0.77225,0.1609234000000015
0,PCA,12,15,0.7731875,0.77225,0.2636961000000042
0,PCA,12,16,0.767125,0.76625,0.21130650000000628
0,PCA,12,17,0.767375,0.771,0.3601759999999956
0,PCA,12,18,0.7705,0.77175,0.32747560000001386
0,PCA,12,19,0.5,0.5,0.031093999999995958
0,PCA,13,0,0.794375,0.797,1.3481805000000122
0,PCA,13,1,0.5,0.5,0.03189330000000723
0,PCA,13,2,0.5,0.5,0.03127450000002341
0,PCA,13,3,0.5114375,0.50825,0.052134699999982104
0,PCA,13,4,0.6485,0.64975,0.08905229999999165
0,PCA,13,5,0.7495625,0.75075,0.23827099999999746
0,PCA,13,6,0.5,0.5,0.02797659999998814
0,PCA,13,7,0.7495625,0.75075,0.11755549999998038
0,PCA,13,8,0.581625,0.57175,0.10111620000000698
0,PCA,13,9,0.758875,0.76075,0.21084410000000275
0,PCA,13,10,0.7573125,0.75675,0.16414869999999837
0,PCA,13,11,0.7495625,0.75075,0.25947919999998703
0,PCA,13,12,0.7545625,0.75375,0.20446549999999775
0,PCA,13,13,0.5,0.5,0.33999239999999986
0,PCA,13,14,0.7495625,0.75075,0.9341452999999831
0,PCA,13,15,0.5978125,0.59575,0.15732030000000918
0,PCA,13,16,0.7685625,0.7705,0.1671436999999969
0,PCA,13,17,0.7685625,0.7705,0.7441789000000085
0,PCA,13,18,0.7685,0.7705,0.7052413000000115
0,PCA,13,19,0.5,0.5,0.03353260000000091
