,Algorithm,Components,Clusters,Homogeneity,Time
0,Test,0,0,0.0,0.0
0,ICA,1,1,0.0,0.9516682000000856
0,ICA,1,2,0.030353244860486076,0.062471499999901425
0,ICA,1,3,0.04561400530454262,0.05260199999997894
0,ICA,1,4,0.05658707719913365,0.0556642000001375
0,ICA,1,5,0.06042138590348637,0.048051700000087294
0,ICA,1,6,0.06283964258728199,0.056085799999891606
0,ICA,1,7,0.064754479100237,0.05824170000005324
0,ICA,1,8,0.06610625490390942,0.07788419999997132
0,ICA,1,9,0.06588857121415537,0.07029990000000907
0,ICA,1,10,0.0675606515605543,0.06443379999996068
0,ICA,1,11,0.06834935489019876,0.0770614000000478
0,ICA,1,12,0.06849783130570394,0.08599770000000717
0,ICA,1,13,0.06837854345861427,0.08926160000009986
0,ICA,1,14,0.06934892972956606,0.08772019999992153
0,ICA,1,15,0.0695423709638339,0.0733525999999074
0,ICA,1,16,0.06935923489873286,0.1018228000000363
0,ICA,1,17,0.07000109031691745,0.08658900000000358
0,ICA,1,18,0.07045467073429074,0.09373510000000351
0,ICA,1,19,0.06979922349612809,0.10514409999996133
0,ICA,2,1,0.0,0.09437900000011723
0,ICA,2,2,0.0058975944275313835,0.09083059999989018
0,ICA,2,3,0.08625402994350827,0.11763399999995272
0,ICA,2,4,0.09312812990143049,0.16227889999981926
0,ICA,2,5,0.10073084776105548,0.15480320000006031
0,ICA,2,6,0.10464920135987123,0.1993904000000839
0,ICA,2,7,0.11328395746441118,0.26465700000017023
0,ICA,2,8,0.11422316734406232,0.3280883999998423
0,ICA,2,9,0.11760072950872362,0.34894969999982095
0,ICA,2,10,0.1244918386153358,0.4032042999999703
0,ICA,2,11,0.12749663031627026,0.42577749999986736
0,ICA,2,12,0.12704281568178094,0.4574364999998579
0,ICA,2,13,0.12376471869454567,0.5529225000000224
0,ICA,2,14,0.12778077278901584,0.48403989999997066
0,ICA,2,15,0.13392187359387084,0.5500126999997974
0,ICA,2,16,0.1320079834378264,0.525488199999927
0,ICA,2,17,0.13292738425357642,0.5625766999999087
0,ICA,2,18,0.13496282463962875,0.619009700000106
0,ICA,2,19,0.1345820684177478,0.5785507000000507
0,ICA,3,1,0.0,0.19909980000011274
0,ICA,3,2,0.07190640949610072,1.5385277000000315
0,ICA,3,3,0.10755880001788204,0.1786141000002317
0,ICA,3,4,0.13012325010854442,0.18966460000001462
0,ICA,3,5,0.13464491318495342,0.2542316000003666
0,ICA,3,6,0.13780731966110868,0.2879227000003084
0,ICA,3,7,0.13983013094528884,0.2728806000000077
0,ICA,3,8,0.14543181248312453,0.35567170000012993
0,ICA,3,9,0.14853776335439853,0.35335799999984374
0,ICA,3,10,0.14676832065586198,0.4342553000001317
0,ICA,3,11,0.15126081618476356,0.2929048999999395
0,ICA,3,12,0.15256583059035406,0.4155639999999039
0,ICA,3,13,0.15405509214341107,0.37965410000015254
0,ICA,3,14,0.15657293892205162,0.5034774000000652
0,ICA,3,15,0.15866035291041558,1.3552531999998791
0,ICA,3,16,0.1671095081244771,1.2175410999998348
0,ICA,3,17,0.165050119667037,0.9017257000000427
0,ICA,3,18,0.16451374016400233,0.572188499999811
0,ICA,3,19,0.17114081519554122,0.5036958999999115
0,ICA,4,1,0.0,0.12020840000013777
0,ICA,4,2,0.03582099251047657,0.23599540000031993
0,ICA,4,3,0.10242749968537856,0.4591690000002018
0,ICA,4,4,0.11856696179762899,0.5229063000001588
0,ICA,4,5,0.12332755700147811,0.30465659999981654
0,ICA,4,6,0.12777153824092966,0.4552987000001849
0,ICA,4,7,0.13345367783084475,0.490995600000133
0,ICA,4,8,0.1347721182261484,0.5243063999996593
0,ICA,4,9,0.1401166502434704,0.8635368999998718
0,ICA,4,10,0.14296666315480813,0.763284300000123
0,ICA,4,11,0.14532829103390882,0.8125846999996611
0,ICA,4,12,0.14547220430348315,0.8239596999997048
0,ICA,4,13,0.14824409128587976,0.8602642999999262
0,ICA,4,14,0.14971179007403604,1.2717158000000381
0,ICA,4,15,0.15124997505012347,1.2096043999999893
0,ICA,4,16,0.15520130949783742,1.0391325000000506
0,ICA,4,17,0.1569319873532574,0.6346126999997068
0,ICA,4,18,0.15608754692017712,0.6926601999998638
0,ICA,4,19,0.15867871415652765,0.7404159000002437
0,ICA,5,1,0.0,0.15099370000007184
0,ICA,5,2,0.07195965670610849,0.39710229999946023
0,ICA,5,3,0.12656424815662057,0.5010382000000391
0,ICA,5,4,0.12384093954202458,0.9008899000000383
0,ICA,5,5,0.16418153609855815,0.9402035000002797
0,ICA,5,6,0.1640319050138669,0.8498630999993111
0,ICA,5,7,0.1574498139409997,1.2846606000002794
0,ICA,5,8,0.16612801625193094,1.4112635999999839
0,ICA,5,9,0.1506505779200583,2.9332636999997703
0,ICA,5,10,0.1775076232226562,1.5088441999996576
0,ICA,5,11,0.18011625438693157,1.5857354999998279
0,ICA,5,12,0.18618299747102135,1.5654848000003767
0,ICA,5,13,0.1907275864813431,1.465235799999391
0,ICA,5,14,0.19175678974750288,1.3889005000000907
