,Algorithm,Components,Clusters,Homogeneity,Time
0,Test,0,0,0.0,0.0
0,PCA,1,1,0.0,3.008301000000017
0,PCA,2,1,0.0,0.1034273000000212
0,PCA,3,1,0.0,0.047482899999977235
0,PCA,4,1,0.0,0.044804199999987304
0,PCA,5,1,0.0,0.13142239999996264
0,PCA,6,1,0.0,0.14033009999997148
0,PCA,7,1,0.0,0.15876959999997098
0,PCA,8,1,0.0,0.14319389999997156
0,PCA,9,1,0.0,0.15982239999999592
0,PCA,10,1,0.0,0.14383989999998903
0,PCA,11,1,0.0,0.2141043000000309
0,PCA,12,1,0.0,0.21234650000002375
0,PCA,13,1,0.0,0.273255000000006
0,PCA,14,1,0.0,0.22404679999999644
0,PCA,15,1,0.0,0.24342150000001084
0,PCA,16,1,0.0,0.2367208000000005
0,PCA,17,1,0.0,0.22206500000004326
0,PCA,18,1,0.0,0.23948649999999816
0,PCA,19,1,0.0,0.30711639999998397
0,PCA,20,1,0.0,0.2714404999999829
0,PCA,21,1,0.0,0.2369724000000133
0,PCA,22,1,0.0,0.31094789999997374
0,PCA,23,1,0.0,0.3326880999999844
0,PCA,24,1,0.0,0.3582539999999881
0,PCA,25,1,0.0,0.3191107999999758
0,PCA,26,1,0.0,0.22989009999997734
0,PCA,27,1,0.0,0.30220090000000255
0,PCA,28,1,0.0,0.3077298999999698
0,PCA,29,1,0.0,0.2727464000000168
0,PCA,30,1,0.0,0.3459841000000097
0,PCA,31,1,0.0,0.36834720000001653
0,PCA,32,1,0.0,0.3045494999999505
0,PCA,33,1,0.0,0.28551419999996597
0,PCA,34,1,0.0,0.34492349999999306
0,PCA,35,1,0.0,0.3239787999999635
0,PCA,36,1,0.0,0.32576820000002726
0,PCA,37,1,0.0,0.36583079999996926
0,PCA,38,1,0.0,0.3124503999999888
0,PCA,39,1,0.0,0.3985646999999517
0,PCA,40,1,0.0,0.4965227999999797
0,PCA,41,1,0.0,0.423093300000005
0,PCA,42,1,0.0,0.4221047999999996
0,PCA,43,1,0.0,0.34234050000003435
0,PCA,44,1,0.0,0.4322857999999883
0,PCA,45,1,0.0,0.3991039999999657
0,PCA,46,1,0.0,0.44326950000004217
0,PCA,47,1,0.0,0.4009999000000448
0,PCA,48,1,0.0,0.40629510000002256
0,PCA,49,1,0.0,0.550164499999994
0,PCA,1,2,0.033136571000050165,0.14030479999996714
0,PCA,2,2,0.059353709583657106,0.2467505999999844
0,PCA,3,2,0.0630980687008973,0.42468439999998964
0,PCA,4,2,0.07096887947544361,0.36461229999997613
0,PCA,5,2,0.0746366028318537,1.046500100000003
0,PCA,6,2,0.07533288617564568,0.9351244000000065
